Ego ID	Sire ID	Dam ID	Departure	Sex	Birth	Death
11662		3202		Female	1981-05-28	1981-08-15
11663			1982-04-27	Unknown	1981-05-28	
11666		3199	1982-04-27	Unknown	1981-05-28	
11716		9242	1982-04-27	Female	1981-06-02	
11721		4255		Female	1981-04-21	1994-07-06
11722		8570		Male	1981-06-04	1981-06-10
11725				Unknown	1981-06-07	1981-06-07
11726			1982-04-27	Female	1981-05-24	
11727		9165	1982-04-27	Male	1981-06-09	
11728		3217		Female	1981-04-13	1995-12-15
11729		5985	1982-04-27	Female	1981-06-10	
11730		9017		Male	1981-06-11	1989-07-12
11775			1982-04-27	Male	1981-06-28	
11776			1982-04-27	Female	1981-06-29	
11819		1724	1982-04-27	Female	1981-07-07	
11863			1982-04-27	Female	1981-07-11	
1190				Male		1980-10-20
11908		4060		Unknown	1981-07-14	1981-07-14
11909		9167	1982-04-27	Female	1981-07-25	
1191			1976-11-03	Female		
11912		7121	1982-04-27	Female	1981-08-05	
11934		6041		Male	1981-05-12	1984-12-27
11990		7907		Unknown	1982-02-16	1982-04-13
11991		7796		Unknown	1982-02-19	1982-02-23
11995		1759		Unknown	1982-02-26	1982-02-26
12010		2327		Female	1982-03-15	1986-07-01
12011		8276		Male	1982-04-14	1991-02-25
12017		5970		Male	1982-03-23	1986-09-05
12018		7346	1982-04-27	Unknown	1982-03-24	
12019		4916		Male	1982-03-26	1983-08-02
12020		7764		Unknown	1982-03-27	1982-04-04
12021		6016	1982-04-27	Unknown	1982-03-29	
12027		7118	1982-04-27	Unknown	1982-04-01	
12028		7810	1982-04-27	Unknown	1982-04-02	
12029		6413	1982-04-27	Unknown	1982-04-02	
12030		3202	1982-04-27	Unknown	1982-04-04	
12031		7110	1982-04-27	Unknown	1982-04-04	
12038		6770		Male	1982-04-07	1983-12-16
12039		4903		Female	1982-04-05	1991-10-17
12040		7799		Female	1982-04-07	1982-04-07
12057		8233		Male	1982-04-12	1996-08-27
12058		6807		Female	1982-04-11	1982-04-11
12059		7792		Female	1982-04-12	1994-12-22
12060	7890	6710		Male	1982-04-13	1993-02-05
12061		6053	1982-04-27	Unknown	1982-04-13	
12062		3195		Female	1982-03-19	1983-12-13
12063		7790	1983-03-29	Male	1982-04-13	
12064		8415		Female	1982-04-14	1989-08-04
12066		6789	1982-04-27	Unknown	1982-04-15	
12067		7829	1982-04-27	Unknown	1982-04-16	
12068		6736		Male	1982-04-16	1995-07-15
12069		4952	1982-04-27	Unknown	1982-04-18	
12070		8239		Male	1982-04-19	1986-01-21
12086			1983-03-30	Female	1982-04-27	
12087				Male	1982-04-19	1989-08-03
12091		5564		Male	1982-04-23	1983-08-02
12092		9258		Male	1982-04-25	1997-06-13
12093		7049		Female	1982-04-25	1989-07-31
12094				Female	1982-04-28	1982-04-28
12095		7804		Male	1982-04-29	1983-12-12
12107			1983-03-30	Female	1982-05-19	
12110		7850		Male	1982-05-20	1982-05-20
12111		9171		Male	1982-05-10	1987-12-21
12112		8234		Female	1982-05-10	2002-04-17
12113		8570		Male	1982-05-19	1990-05-01
12114		7774		Unknown	1982-05-20	1982-05-20
12116		6799		Hermaphrodite	1982-05-26	1982-06-13
12117		9586		Female	1982-05-26	1986-10-06
12119		7821		Female	1982-05-25	1986-11-26
12120		5525	1989-07-27	Female	1982-05-28	
12126		3246		Female	1982-05-30	1989-08-02
12135		6311		Hermaphrodite	1982-06-13	1982-07-13
12144		3213		Female	1982-06-02	1989-08-01
12145		9682		Male	1982-06-05	1988-03-23
12146		6451		Male	1982-06-06	1983-08-02
12147		9178		Female	1982-06-08	1989-08-03
12148		9565		Female	1982-06-09	1986-05-30
12149		3217		Male	1982-06-12	1986-09-22
12150		5517		Female	1982-06-12	1990-05-15
12151		9665		Male	1982-06-14	1989-08-03
12175		9192		Male	1982-07-28	1996-08-27
12508				Female	1981-06-15	1986-07-01
12518		6041		Male	1982-12-10	1982-12-10
12537		7072		Unknown	1982-01-13	1983-01-13
12586		8414		Unknown	1983-03-21	1983-03-21
12587		3213		Female	1983-05-08	1983-05-23
12588		7778		Female	1983-05-17	1983-05-18
12589		10332		Male	1983-05-23	1983-07-05
12689		10284	1984-05-29	Female	1983-05-17	
12709		6311	1989-07-07	Female	1983-04-22	
12710		9677		Male	1983-04-28	1992-11-24
12732		8281		Hermaphrodite	1983-05-17	1983-10-25
12734		9775		Male	1983-03-28	1989-08-08
12735		7788		Male	1983-03-28	1989-08-08
12744		8575	1984-05-29	Male	1983-07-07	
12746		7072		Unknown	1983-07-06	1983-07-08
12750				Male	1983-07-11	1983-07-11
12797		1714		Female	1983-08-01	1984-10-02
12798		7821		Hermaphrodite	1983-06-10	2000-01-27
12799		4916		Male	1983-06-25	2001-12-20
12800		6807		Hermaphrodite	1983-04-24	1987-08-11
12801		8276	1989-07-07	Hermaphrodite	1983-05-26	
12802		6302		Male	1983-06-01	1987-03-31
12803		6710		Female	1983-06-17	1992-10-23
12804		3195		Female	1983-04-18	1984-12-11
12805		7049		Male	1983-06-12	1987-07-06
12806		5970		Male	1983-04-18	1992-11-03
12807		9688		Male	1983-07-10	1990-02-08
12808		10231		Male	1983-05-27	1998-01-29
12811		10480		Male	1983-05-08	1985-11-12
12812		10505		Male	1983-06-22	2002-01-25
12813		9017		Male	1983-03-24	1987-10-21
12814		4893		Male	1983-03-28	1990-07-22
12815		9178		Male	1983-06-29	1987-06-12
12816		9179		Female	1983-04-04	1984-12-11
12817		10333		Female	1983-05-30	1994-07-13
12823		8239		Unknown	1983-06-07	1983-06-07
12986		6733		Male	1983-08-07	1984-12-12
12987		6041		Female	1983-08-07	2000-08-21
13146		4255		Female	1984-04-15	1984-04-19
13166				Male	1984-05-02	1984-05-02
13199		9192	1985-03-20	Hermaphrodite	1984-06-03	
13215		6710		Male	1984-05-31	1985-01-08
13216		9258		Male	1984-04-08	2000-08-29
13217		4893		Female	1984-06-20	2004-09-03
13218		6451		Male	1984-04-17	1986-10-17
13219		10490		Male	1984-05-08	1986-06-02
13220		8414		Male	1984-05-16	1990-03-06
13221		5517		Hermaphrodite	1984-04-10	2010-05-30
13222		9586		Male	1984-04-02	1987-09-02
13223		10899		Male	1984-05-27	1992-12-02
13224		8570		Hermaphrodite	1984-04-26	2000-01-25
13225		10470		Female	1984-05-17	1984-12-11
13226		8239	1989-07-07	Hermaphrodite	1984-04-22	
13227		10506		Female	1984-06-05	1996-05-29
13228		9171		Hermaphrodite	1984-04-10	1989-01-18
13229		7788	1995-10-10	Female	1984-04-18	
13230		10332	1985-07-17	Male	1984-06-21	
13231		5970		Male	1984-04-30	1992-11-18
13232		3246	1988-10-11	Female	1984-03-18	
13234		6345		Male	1984-03-25	1995-11-12
13235		8231		Male	1984-04-12	1987-05-18
13236		7804	1998-04-07	Male	1984-05-01	
13237		10910	1985-07-17	Male	1984-06-26	
13238		9017		Male	1984-04-27	1995-05-08
13239		7821		Female	1984-06-08	1995-12-23
13436		11112		Male	1984-07-17	1992-10-12
13437		10494		Male	1984-07-08	1991-04-16
13438		8276		Male	1984-07-10	1989-08-08
13439		7072		Male	1984-07-01	1984-11-30
13565		10480		Male	1985-01-11	1985-01-11
13570		9203		Unknown	1984-01-18	1985-01-18
13586		9682		Male	1984-03-04	1984-03-04
13587		4903		Hermaphrodite	1984-03-13	1984-03-13
13588		9565		Male	1984-04-08	1984-04-08
13589		4255		Unknown	1984-04-15	1984-04-15
13590		10284		Unknown	1984-04-29	1984-05-07
13591		10884		Female	1984-05-29	1984-06-10
13592		10269		Female	1984-04-30	1984-04-30
13632		9565		Unknown	1985-04-07	1985-04-07
13662		6733		Unknown	1985-05-05	1985-05-05
13674		4987		Male	1985-05-02	1985-05-09
13736		11006	1991-10-11	Female	1985-06-07	
13737		7072	1991-10-11	Female	1985-05-24	
13738		8231		Male	1985-06-18	1991-09-10
13739		6710		Male	1985-05-29	1985-11-20
13740		10477		Female	1985-06-21	1986-02-15
13741		11614		Male	1985-06-12	1993-05-18
13742		10284	1988-10-12	Male	1985-06-02	
13743		8239		Male	1985-06-06	1996-07-16
13744		6311		Hermaphrodite	1985-05-31	1992-12-08
13745		4903	1988-10-12	Male	1985-04-02	
13746		8570		Female	1985-06-24	1986-08-07
13747		8281		Hermaphrodite	1985-03-22	2000-01-26
13748		5517		Female	1985-05-21	2003-06-07
13749		11536		Male	1985-06-25	1986-10-23
13750		3246	1991-10-11	Male	1985-05-18	
13751		11586	1988-10-12	Male	1985-06-02	
13752		7049		Male	1985-04-05	1989-03-10
13753		10505	1989-07-07	Hermaphrodite	1985-06-18	
13754		9258		Male	1985-05-05	1987-08-19
13755		10269		Male	1985-05-29	1986-07-08
13756		3217		Female	1985-02-20	1986-10-17
13757		6041		Male	1985-04-25	1986-03-27
13758		3213		Male	1985-05-23	1996-07-30
13759		5564		Hermaphrodite	1985-06-12	2000-01-26
13760		10333		Hermaphrodite	1985-03-21	2000-01-27
13761		9586		Female	1985-05-29	1986-06-25
13762		9179		Male	1985-04-10	1986-07-01
13763		10231		Male	1985-04-30	1986-07-24
13764		10999		Female	1985-06-18	1995-11-15
13765		11588	1991-10-11	Male	1985-06-16	
13766		11111		Female	1985-03-29	1986-02-06
13767		4255		Male	1985-06-12	1986-06-02
13768		1714		Female	1985-04-01	1991-12-18
13769		11721		Male	1985-06-16	1996-07-30
13770		11618		Female	1985-06-18	1998-11-11
13771		3195		Male	1985-03-17	1996-09-03
13772		7788		Male	1985-04-22	1993-11-15
13773		6302	1988-10-12	Male	1985-04-29	
13774		4916		Male	1985-04-09	1996-07-09
13775		10972		Female	1985-05-13	1996-10-15
13776		7792	1991-10-11	Male	1985-03-28	
13779		11650		Male	1985-06-06	1985-06-20
13990		9017		Female	1985-07-25	1987-04-30
13991		9688		Male	1985-08-01	2005-11-18
13992		10953	1991-10-11	Female	1985-07-07	
13993		11032		Male	1985-07-09	1992-06-10
13994		6807		Female	1985-07-16	1986-05-07
13995		9171		Male	1985-07-14	1992-12-11
13996		11656	1985-12-04	Female	1985-07-14	
13997		10886	1989-07-07	Female	1985-07-16	
13998		7821		Male	1985-07-10	1988-11-22
14009		5525		Male	1985-02-19	1985-02-19
14010		9682		Hermaphrodite	1985-04-10	1985-04-10
14011		5970		Unknown	1985-05-17	1985-05-18
14012		8276		Male	1985-06-12	1985-06-24
14013		11589		Unknown	1985-06-18	1985-06-21
14086		9677		Unknown	1986-02-08	1986-02-08
14104		5970		Male	1986-03-07	1986-03-07
14106		9203		Male	1986-03-05	1986-03-10
14121				Male	1986-04-01	1986-04-01
14144		11111		Unknown	1986-04-24	1986-04-25
14153		11650		Unknown	1986-04-26	1986-04-26
14154				Unknown	1986-04-28	1986-04-28
14155		9178		Unknown	1986-03-31	1986-03-31
14173				Male	1986-05-12	1986-05-12
14179				Unknown	1986-05-09	1986-05-09
14180		9179		Female	1986-05-14	1986-05-15
14182		11556	1987-01-14	Male	1986-05-12	
14183		10967		Unknown	1986-05-07	1986-05-09
14193		3217		Female	1986-05-04	1986-05-22
14209		12064		Male	1986-06-03	1986-09-08
14210		7778		Female	1986-05-16	2013-08-17
14211		11034		Female	1986-05-20	1986-06-27
14212		10505		Male	1986-06-05	1992-12-24
14213		9682	1991-10-11	Female	1986-04-12	
14214		6451		Male	1986-04-21	1988-06-24
14215		6733		Male	1986-04-29	1986-06-30
14216		11571	1987-01-14	Female	1986-05-13	
14223		4893		Female	1986-04-13	1987-06-12
14224		10480		Male	1986-03-19	1986-10-17
14225		10995		Female	1986-03-12	1986-10-28
14226		11112		Male	1986-04-17	1993-12-08
14227		9565		Male	1986-06-08	1996-09-03
14228		12117		Male	1986-06-09	1986-12-01
14232		11589		Male	1986-06-14	1986-06-14
14253		12120	1989-07-07	Female	1986-05-26	
14259		7788		Male	1986-07-01	1986-07-16
14528		6710		Hermaphrodite	1986-05-07	1987-08-13
14529		8234		Male	1986-07-15	1996-09-04
14530		8281		Female	1986-07-15	1999-01-28
14531		5525		Female	1986-06-02	1987-06-11
14532		12039	1991-10-11	Male	1986-06-15	
14533		7792		Male	1986-05-06	1989-08-09
14534		4903		Female	1986-05-30	1987-06-11
14535		12112		Female	1986-07-06	1999-09-13
14536		6345		Female	1986-04-08	2000-05-15
14666				Male	1987-03-25	1987-03-25
14675				Unknown	1987-03-31	1987-03-31
14676				Unknown	1987-03-31	1987-03-31
14677				Unknown	1987-03-31	1987-03-31
14680				Female	1987-04-01	1987-04-01
14722				Male	1987-04-01	1987-04-27
14745				Female	1987-05-01	1987-05-15
14830				Male	1987-06-01	1987-06-01
14839		9203		Female	1987-03-25	2003-01-20
14840		9775	1989-01-24	Male	1987-03-04	
14841		10477	1989-01-24	Female	1987-03-31	
14842		10470		Female	1987-04-15	1987-07-06
14843		10999	1991-10-11	Female	1987-03-28	
14844		11588	1988-02-17	Female	1987-05-12	
14845		11614	1991-10-11	Male	1987-04-01	
14846		12059	1989-01-24	Female	1987-04-27	
14847		10269	1989-01-24	Female	1987-06-01	
14848		11111		Male	1987-03-15	1996-09-04
14850		8231	1991-10-11	Male	1987-05-22	
14851		9258		Male	1987-05-27	1995-01-24
14852		9179	1989-01-24	Male	1987-04-05	
14853		11032		Female	1987-06-01	2015-12-22
14854		11586	1991-10-11	Male	1987-03-22	
14855		7792		Male	1987-05-08	1987-08-26
14856		11618		Male	1987-05-08	1996-08-28
14857		6302	1989-01-24	Female	1987-05-27	
14858		9171	1989-08-10	Male	1987-04-05	
14859		11721		Male	1987-04-10	1987-07-01
14860		8281	1991-10-11	Female	1987-05-22	
14861		3213		Male	1987-05-01	1996-08-28
14862		5970	1989-01-24	Female	1987-04-28	
14863		11624		Female	1987-04-24	2017-05-25
14864		9017	1991-10-11	Male	1987-02-25	
14865		7821		Female	1987-03-25	2000-04-19
14866		10910	1989-08-10	Male	1987-03-20	
14867		6710	1989-01-24	Male	1987-04-18	
14868		3217	1995-10-10	Female	1987-04-28	
14869		10886	1989-01-24	Male	1987-04-04	
14870		4916	1989-01-24	Female	1987-03-28	
14871		9688		Female	1987-05-01	1987-08-06
14872		11571	1989-01-24	Male	1987-05-12	
14873		10953		Male	1987-03-15	1987-08-30
14874		12817	1988-02-17	Male	1987-06-11	
14875		4255		Unknown	1987-06-10	1987-06-10
14888		8575		Male	1987-06-18	1987-06-22
14922		10972		Unknown	1987-02-27	1987-02-27
14923		6311		Female	1987-03-30	1987-03-30
14947				Male	1987-07-01	1987-07-14
15061		5517	1989-08-10	Male	1987-07-15	
15076		12064		Female	1987-04-01	1987-09-16
15100		10506		Female	1987-07-25	1991-06-19
15103		9677		Female	1987-07-01	1987-10-16
15104		8276	1989-07-07	Female	1987-06-01	
15105		6807		Female	1987-07-01	1989-07-18
15106		10231	1989-07-07	Male	1987-06-01	
15107		8239	1989-07-07	Female	1987-06-01	
15108		6733		Male	1987-07-01	1987-10-21
15109		12093		Male	1987-08-01	1988-12-27
15110		10332		Female	1987-08-01	1989-08-03
15253				Male	1988-04-25	1988-05-04
15258				Female	1988-05-05	1988-05-05
15268		10231		Male	1988-05-03	1989-07-26
15269		12126		Male	1988-04-27	1989-04-05
15270		10284		Female	1988-03-18	1989-08-04
15271		12120		Female	1988-04-18	1989-08-04
15272		10480		Male	1988-03-23	1989-08-10
15273		10995		Female	1988-04-26	1989-08-02
15274				Female	1988-05-08	1988-05-10
15275				Male	1988-05-08	1988-05-10
15281		12064		Unknown	1988-05-12	1988-05-12
15282		6733		Female	1988-05-13	1989-08-02
15296		9688		Male	1988-05-10	2005-07-04
15297		9171	1991-10-11	Female	1988-05-23	
15298		4916	1989-08-15	Male	1988-05-23	
15302		5970	1989-08-15	Male	1988-05-12	
15303		12039	1991-10-11	Male	1988-04-26	
15304		8234	1989-05-02	Female	1988-05-02	
15305		11586		Female	1988-05-15	2000-04-20
15306		6311		Male	1988-05-06	1994-02-07
15307		6345	1991-10-11	Male	1988-04-02	
15308		8281	1989-08-15	Male	1988-05-23	
15309		10505		Female	1988-04-19	2010-05-05
15310		7792		Female	1988-05-03	1997-04-03
15311		11721	1989-08-15	Male	1988-05-11	
15312		10886	1989-08-15	Male	1988-05-19	
15313		9682	1991-10-11	Male	1988-05-23	
15317		11614		Male	1988-05-27	1988-08-15
15318		7821		Female	1988-05-27	1999-02-11
15341				Female	1988-06-03	1988-06-03
15444		13224		Male	1988-06-26	1988-07-06
15535		7072		Male	1988-06-03	1988-10-07
15536		12112		Male	1988-07-20	1992-11-09
15537		7778		Male	1988-06-03	1995-10-11
15538		13217		Male	1988-06-06	1993-04-28
15539		9203		Female	1988-06-21	1989-07-10
15540		9565		Female	1988-07-04	2003-04-08
15541		10470		Male	1988-06-19	1989-05-04
15542		9775		Female	1988-06-20	1989-08-11
15543		10910		Female	1988-06-20	1989-01-16
15544		10477	1989-08-15	Male	1988-06-20	
15545		10999	1991-10-11	Female	1988-06-09	
15546		13232	1988-10-11	Female	1988-06-23	
15547		13228	1991-10-11	Female	1988-07-13	
15548		6710		Female	1988-07-20	2011-02-25
15552		13239		Female	1988-06-22	1988-09-19
15553		12093		Male	1988-07-01	1989-08-09
15554		8276		Female	1988-07-01	1989-08-10
15555		6807		Male	1988-07-01	1989-08-10
15556		9677		Female	1988-07-01	1989-08-10
15557		12147		Female	1988-07-01	1989-03-22
15558		12709		Male	1988-07-01	1989-04-17
15559		8239		Male	1988-07-01	1989-08-09
15560				Male	1988-06-01	1989-08-09
15691				Male	1989-04-07	1989-04-07
15723		10953		Female	1989-04-24	1989-05-01
15727		11571		Female	1989-04-30	1989-10-24
15728		3217		Male	1989-04-07	1989-07-16
15729		11111		Male	1989-04-30	2015-12-22
15738				Unknown	1989-05-15	1989-05-15
15755				Unknown	1989-05-07	1989-05-29
15780		5525		Male	1989-05-30	1989-06-09
15850				Female	1989-06-15	1989-06-28
15858		10332		Female	1989-06-01	1989-07-25
15859		10231		Female	1989-06-01	1989-07-25
15860		12144		Male	1989-06-01	1989-08-01
15861		12120		Male	1989-06-01	1989-07-26
15862		12093		Male	1989-06-15	1989-07-31
15863		6807		Male	1989-06-01	1989-07-24
15864		12064		Female	1989-06-01	1989-08-04
15922				Male	1989-06-01	1989-08-01
15979			1998-04-07	Male	1989-07-01	
15980			1997-12-30	Male	1989-08-01	
15981				Male	1989-08-01	1989-11-25
15982			1991-10-11	Female	1989-06-01	
15983			1991-10-11	Female	1989-07-01	
15984			1990-10-18	Female	1989-07-01	
15985			1990-10-18	Female	1989-06-01	
15986		9017	1991-10-11	Female	1989-06-01	
15987		13217	1990-10-18	Female	1989-07-01	
15988		7821		Female	1989-09-01	1990-05-08
15989		8231	1990-10-18	Male	1989-07-01	
15990		9171		Male	1989-07-01	2004-02-18
15991		7792	1991-10-11	Male	1989-07-01	
15992		6311	1995-10-10	Female	1989-09-01	
15993		13227	1990-10-18	Male	1989-07-01	
15994		11618	1991-10-11	Female	1989-06-01	
15995		10477		Female	1989-10-01	2013-02-06
15996		12112		Female	1989-06-01	1995-09-13
15997		13224		Male	1989-07-01	1991-06-03
15998		11032		Female	1989-07-01	1992-11-10
15999		11614	1991-10-11	Male	1989-08-01	
16000		11721	1991-10-11	Male	1989-07-01	
16001				Male	1989-06-01	1998-01-21
16103				Female	1990-05-06	1990-05-09
16168				Unknown	1990-06-15	1990-06-23
16273				Male	1990-07-12	1990-07-12
16364		13764	1991-10-11	Male	1990-06-01	
16365		8231		Male	1990-06-01	1992-10-14
16366		8281	1991-10-11	Female	1990-06-01	
16367		13239		Female	1990-06-01	1990-12-17
16368		6302		Female	1990-09-01	1990-10-30
16369		13775	1991-10-11	Female	1990-06-01	
